district,crop,soil_type,N,P,K,ph,temperature,humidity,rainfall,label
Alappuzha,Rice,Alluvial,110.98120696500538,86.06670917320372,75.19959802267083,7.151949543665308,23.05939758567297,72.07434848123286,232.0275973371737,Rice
Wayanad,Black Pepper,Loamy,89.12590604340775,21.88397419610552,84.54783797690075,6.396364851206303,24.473783868872346,78.22335896074536,93.67822930394156,Black Pepper
Wayanad,Tea,Loamy,31.566089796721585,78.513913096606,96.07493651124094,5.669380226709912,23.812428839848486,82.97830599949197,131.8348857149561,Tea
Thiruvananthapuram,Pineapple,Laterite,38.9151540926553,57.939891485566,70.86151691965273,7.78331398373408,26.63576560830212,68.73685556305153,291.6964966932426,Pineapple
Kasaragod,Arecanut,Loamy,71.7268086001713,30.8408675823526,56.70358727312323,5.852067690931163,34.5572797866829,65.93301172134188,254.03688786441856,Arecanut
Alappuzha,Coconut,Loamy,115.87082206202862,42.18814428626196,34.46443292125997,5.725439858549815,29.934450522656025,68.50860080643739,51.224193114415904,Coconut
Kozhikode,Turmeric,Laterite,102.11400806506974,34.31050158318688,49.890247007967,7.1450511065030575,26.748162280339194,81.28555371720977,291.55748695355635,Turmeric
Wayanad,Black Pepper,Loamy,101.67109883264511,17.49030627635151,83.4478955007173,6.688350697060574,25.47769334958509,75.64350245136606,109.40231326722164,Black Pepper
Kannur,Coconut,Laterite,105.71911550527992,40.98011975557844,29.816451171229176,5.087012415833726,28.74695161250685,61.61642320235668,75.14552665387073,Coconut
Kannur,Black Pepper,Red,111.02595056847808,17.41790500874024,92.9665073836096,6.607697029610024,25.602691521625253,72.0576670630499,89.38991101913798,Black Pepper
Palakkad,Tapioca,Sandy,30.90826832549493,96.46147136745942,121.43523081330132,5.224983866597221,22.45400641682581,78.61901571742271,186.32253536409348,Tapioca
Kottayam,Rubber,Red,126.207346875645,87.09197789255902,38.10196287229337,5.55025280070685,29.35552990121574,61.32529517845603,98.75524632581929,Rubber
Kottayam,Black Pepper,Loamy,105.1374899003059,25.46269554623767,93.81772203624551,6.698473711077432,20.27032701456632,71.40706870429945,78.00425889855059,Black Pepper
Wayanad,Ginger,Laterite,100.78853946312267,88.29928579072993,18.48608260910928,5.086234369551294,34.074432490844536,83.21797623182329,208.0806350724007,Ginger
Idukki,Tea,Loamy,13.561205561608986,77.94746696133002,92.60119009415116,5.254131506600979,19.488252371679057,89.75006269477818,93.30475328047342,Tea
Thrissur,Coconut,Sandy,90.96817467286976,25.541764514824937,27.304310071649294,5.211067765527951,29.392360121212025,54.75824693733178,88.6619565501226,Coconut
Wayanad,Nutmeg,Laterite,92.83922946343088,83.42606620244005,48.41761605868082,5.023999104932504,22.018144712341428,55.01168329320376,187.3804845494232,Nutmeg
