Crop,Days_to_Harvest,Germination,Vegetative,Flowering,Harvesting
Rice,120,Keep soil moist but not flooded.,Maintain water level at 2-3 cm. Apply Urea if needed.,Critical water stage. Prevent draining.,Drain water 10 days before harvest.
Coconut,365,Plant in a deep pit with proper drainage.,Water regularly during dry spells. Apply organic manure.,Ensure adequate moisture to prevent button shedding.,Harvest mature nuts every 45 days.
Rubber,365,Plant budded stumps in well-drained pits.,Maintain weed-free base. Apply NPK mixed fertilizers.,Protect from abnormal leaf fall diseases.,Commence tapping when girth reaches 50cm.
Cardamom,365,Provide constant shade and moisture.,Mulch the plant base. Apply split doses of fertilizers.,Ensure bee pollination. Maintain overhead shade.,Harvest capsules manually at 30-day intervals.
Coffee,365,Maintain nursery shade. Water cautiously to avoid root rot.,Prune plants for proper framework. Apply fertilizer.,Blossom showers are critical. Control berry borer.,Hand-pick ripe berries selectively.
Tea,365,Raise cuttings in shaded nursery bags.,Pruning and tipping is essential for canopy formation.,Maintain plucking tables. Remove flowering shoots.,Pluck two leaves and a bud regularly.
Cashew,365,Plant grafts in pits filled with topsoil.,Prune low-hanging branches. Monitor for tea mosquito bug.,Spray against pests during flushing and flowering.,Collect fallen mature nuts and sun dry.
Banana,300,Ensure sucker has good root system in well-manured pit.,Apply Potassium-rich fertilizer. Remove weeds and desucker.,Propping may be required for support.,Harvest when fingers satisfy angularity and turn light green.
Sugarcane,365,Plant setts in furrows and maintain optimal moisture.,Earthing up is required to prevent lodging. High nitrogen need.,Withhold massive irrigation to aid sugar accumulation.,Harvest close to the ground when stalks turn yellowish.
Arecanut,365,Plant seedlings under shade with continuous watering.,Apply organic compost. Control spindle bug.,Protect immature nuts from fungal diseases (Koleroga).,Harvest ripe bunches possessing yellow-orange color.
Black Pepper,365,Tie growing vines to the standard trees. Provide shade.,Apply cow dung and NPK. Control quick wilt disease.,Ensure good drainage during monsoons.,Pluck spikes when one or two berries turn red.
Cocoa,365,Plant under shade trees (like Arecanut or Coconut).,Formative pruning is crucial for canopy structure.,Ensure adequate moisture. Monitor for pod rot.,Harvest fully mature yellow/orange pods carefully.
Tapioca,300,Plant cuttings vertically or slanted in mounds.,Weed regularly. Apply potassium to support tuber growth.,Ensure adequate drainage. Protect against mosaic virus.,Harvest by uprooting the plant when basal leaves yellow.
Ginger,240,Plant rhizome bits with buds facing up. Mulch heavily.,Keep soil consistently moist but never waterlogged.,Apply organic manure. Weed carefully around shoots.,Harvest when leaves turn yellow and start drying.
Turmeric,270,Plant healthy rhizomes in raised beds. Apply thick mulch.,Control shoot borer pest. Apply fertilizer split doses.,Keep field weed-free to avoid nutrient competition.,Harvest when the above-ground stem dries up completely.
Clove,365,Protect seedlings from direct sunlight.,Apply slow-release fertilizers. Deep watering during dry seasons.,Monitor buds carefully. Prevent fungal diseases on foliage.,Hand-pick unopened flower buds when they turn pinkish.
Nutmeg,365,Maintain strict shade for young grafts.,Pruning helps establish a strong framework.,Ensure appropriate ratio of male to female trees if seeds used.,Harvest fruits when they split open revealing the red mace.
Cinnamon,365,Plant seedlings in well-drained pits.,Coppice trees at 2 years to encourage multiple shoots.,Peel bark when the sap flows freely (after rains).,Harvest straight shoots and peel the bark for drying.
Vanilla,365,Plant cuttings and train vines on support trees.,Loop vines to encourage flowering. Provide 50% shade.,Hand-pollination is strictly required early morning.,Harvest beans when the tips begin to turn yellow.
Mango,120,Protect young grafts from direct sun and wind.,Prune center to allow light. Apply fertilizer post-harvest.,Withhold water to induce flowering. Protect against hoppers.,Pluck fruits with stalks intact when fully mature.
Papaya,270,Plant in well-drained soil on mounds.,High potassium requirement. Do not let water stagnate.,Remove virus-affected plants immediately.,Pluck fruits when a yellow streak appears on the skin.
Pineapple,450,Plant robust suckers. Apply basal dose of fertilizer.,Keep beds weed-free. Maintain soil moisture.,Apply growth regulators to synchronize flowering if needed.,Harvest when 25% of the fruit turns yellow-orange.
Default,120,Ensure proper watering and seed placement.,Monitor for pests and weeds. Apply fertilizer.,Ensure adequate irrigation during flowering.,Check maturity signs before harvest.
