Crop,Seed_Rate_Per_Acre,Seed_Unit,Seed_Price_Per_Unit
Rice,20.0,kg,45
Rubber,150.0,saplings,120
Black Pepper,800.0,cuttings,25
Cardamom,400.0,suckers,60
Coffee,1000.0,saplings,15
Tea,4000.0,clones,10
Cocoa,200.0,saplings,40
Arecanut,500.0,seedlings,50
Banana,1000.0,suckers,20
Mango,40.0,grafts,150
Papaya,1000.0,seeds,5
Pineapple,15000.0,suckers,8
Jackfruit,30.0,saplings,100
Guava,100.0,saplings,80
Sapota,100.0,saplings,120
Custard Apple,100.0,saplings,100
Tapioca,4000.0,cuttings,2
Maize,8.0,kg,130
Cowpea,10.0,kg,100
Green gram,8.0,kg,120
Black gram,10.0,kg,110
Ginger,600.0,kg,60
Turmeric,600.0,kg,50
Clove,100.0,saplings,150
Nutmeg,100.0,saplings,200
Cinnamon,1000.0,seedlings,30
Vanilla,1000.0,cuttings,100
Bitter gourd,2.0,kg,2500
Snake gourd,2.0,kg,1800
Ash gourd,2.0,kg,1500
Brinjal,0.2,kg,12000
Okra,4.0,kg,2000
Tomato,0.1,kg,45000
Chilli,0.5,kg,8000
Cucumber,1.0,kg,5000
Coconut,70.0,seedlings,100
