crop,stage,start_day,end_day,description
Rice,germination,0,15,Seeds are raised in wet nursery beds with standing water. Maintain shallow water layer.
Rice,seedling,16,25,Seedlings prepare for transplanting. Ensure adequate nursery nutrition.
Rice,tillering,26,60,Active tiller formation. Requires continuous irrigation. Apply urea and weed field.
Rice,panicle initiation,61,90,Reproductive stage begins. Critical for yield. Apply potassium to strengthen stems.
Rice,flowering,91,105,Critical water dependency. Protect from stem borers and fungal infections. Avoid raining.
Rice,grain filling,106,115,Grains start to harden and turn yellow. Maintain soil moisture but avoid flooding.
Rice,harvest,116,120,Drain water 10 days before harvest. Cut the stems close to the ground when grains are golden.
Banana,planting,0,30,"Proper layout and spacing are essential. Plant healthy suckers in well-prepared, manured pits."
Banana,vegetative growth,31,150,Rapid leaf production. High demand for nitrogen and potassium. Regularly remove weeds and extra suckers.
Banana,flower emergence,151,210,The inflorescence (bunch) emerges. Provide strong physical props/supports to prevent plants from toppling under weight.
Banana,fruit development,211,280,Fingers start swelling rapidly. Apply the final dose of potassium. Bag the bunches if pest pressure is high.
Banana,harvest,281,300,Fingers lose their sharp angles and become rounded. Harvest while still green for transport.
Black Pepper,planting & establishment,0,60,Plant stem cuttings near living standard trees. Ensure shading from direct sun and maintain high humidity.
Black Pepper,vegetative climbing,61,180,Vines rapidly climb the support. Prune to encourage lateral fruiting branches. Apply organic cow dung.
Black Pepper,flowering,181,250,Tiny white flowers appear on spikes. Rain or high humidity is absolutely critical for successful pollination.
Black Pepper,berry development,251,330,Berries fill out on the spike. Protect crops from the devastating quick wilt disease by improving field drainage.
Black Pepper,harvest,331,365,Spikes are ready to pluck when one or two berries turn noticeably red or yellow. Sun-dry immediately.
Tea,nursery & planting,0,90,Propagate from robust clonal cuttings. Maintain under controlled shade nets with regular misting.
Tea,framework development,91,200,"Careful centering and tipping are required. The goal is to develop a wide, spreading bush frame rather than vertical height."
Tea,plucking table formation,201,300,Bush reaches plucking height. Establish a flat plucking surface to maximize leaf generation.
Tea,harvesting,301,365,"Pluck tender shoots consisting of ""two leaves and a bud"" at intervals of 7-14 days depending on growth flush."
Pineapple,planting,0,60,Plant robust crowns or suckers in very well-drained sandy loam. Basal fertilizer application is important.
Pineapple,rosette growth,61,250,Plant forms a dense rosette of spiny leaves. Keep weed-free; the shallow root system is easily outcompeted.
