Crop,N,P,K,Temperature,Rainfall,Yield_Tons_Acre
Arecanut,48.0,63.0,58.0,22.18664104397499,275.38794576810585,1.4385319463868125
Tomato,104.0,99.0,63.0,29.17729719617848,199.35247173434195,11.843837202390352
Mango,89.0,61.0,94.0,25.037036439507357,168.96543056757918,1.5836658706393052
Clove,94.0,59.0,90.0,21.799760268471804,105.757142767669,1.5738015247688546
Bitter gourd,73.0,22.0,20.0,30.499173040633664,191.7054264746934,1.349855904686079
Arecanut,53.0,20.0,72.0,23.72024754679542,91.15669649311867,1.5092217554349252
Tapioca,70.0,40.0,69.0,25.209983003109137,116.37712375321772,14.193521488018911
Green gram,50.0,85.0,97.0,29.38063271228236,175.27322046554048,1.8170398104456436
Brinjal,104.0,62.0,61.0,20.9758825217392,162.5332090968535,1.4946737309084306
Maize,70.0,71.0,94.0,28.370753776617,247.6089496925504,1.9705033724373404
Guava,74.0,66.0,97.0,30.7055852476395,183.45958470442733,1.7936879251819322
Rubber,76.0,98.0,54.0,20.741102679578105,61.67118103856493,1.1490988785492688
Black Pepper,40.0,73.0,95.0,24.88807787009265,203.30617789353087,0.6266772906823129
Chilli,67.0,44.0,44.0,21.286395311083727,167.65954939481492,1.9306729890033063
Papaya,89.0,69.0,56.0,20.258127945913227,278.87646748865706,1.8339892069592505
Cardamom,97.0,64.0,20.0,25.051582332394204,254.668079641912,1.7211293874997473
Vanilla,75.0,22.0,86.0,21.72994860189221,143.87743370126185,1.4491552953305231
Cocoa,96.0,99.0,68.0,25.542883176127557,54.41463814024676,1.9456667263781555
Green gram,117.0,40.0,23.0,28.104622146020382,132.0401147289944,1.81459391667898
Maize,114.0,54.0,65.0,30.35867516220032,228.19910595749167,1.550419674667491
Jackfruit,50.0,87.0,66.0,33.015691024315004,232.7026539195749,1.6341295884829328
Black gram,72.0,92.0,51.0,23.836442334800672,165.55570728231004,1.7210260300606277
Mango,92.0,86.0,90.0,27.709525756397845,81.05281853531575,1.7493767952966357
Cucumber,88.0,100.0,50.0,22.637547670929784,70.23119404580895,10.095404412025708
Guava,42.0,82.0,100.0,31.647676995982398,80.16703662320194,1.867149425493872
Banana,71.0,42.0,61.0,25.03125078056916,182.77144831469587,12.857836165883809
Arecanut,61.0,76.0,79.0,26.27936211584145,270.67408703752454,1.9267728172631715
Chilli,43.0,77.0,84.0,32.894897900457046,127.76453928428462,1.561955067108717
Snake gourd,95.0,22.0,27.0,23.80940722709359,214.61332131695357,1.4273648926219755
Ginger,117.0,76.0,72.0,24.73350083421413,73.11580848624092,1.6681653981951907
Cowpea,84.0,89.0,58.0,31.96138385512539,160.11050933632612,1.829748823902996
